Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,ETH Zürich - Weather and Climate Risks,data series,ETH Zürich - Weather and Climate Risks,1,none|297,f02bb601-9314-4162-9ebd-e1d18cdc2739,Tropical cyclone: Hazard Data for Disaster Risk Assessment (selected countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,OCHA Nigeria - 3W,data series,OCHA Nigeria,8,none|63,45fceb73-64f9-44ad-8ce3-bc80c14c2897,Nigeria: Operational Presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,Oxford Poverty and Human Development Initiative - Global Multidimensional Poverty Index,data series,Oxford Poverty & Human Development Initiative,99,none|101,6b015a0a-22e8-4a76-9122-1bc9b6a35f6a|01e54562-f615-4e57-a8d6-b91d93dd044f|674f76d5-d619-44f3-b180-ed6e01b4e36b|3e44f9b6-38b3-4120-a603-2c70df5a1df7|3856e636-e273-4786-92b9-cb5e56c37c0d|943c9144-f6a4-40cd-b9ae-321e4eee438a|451fe15d-81e4-47be-ab56-c356d036650f|3dc417e9-f796-43ec-a6c8-f6b00982124f|88135d37-6fee-4d55-b341-02141019f4de|81bf6c95-c61e-41ea-8169-fa388087c5da|1cf72193-8c82-49f0-b1c3-46a9246842fa|40650b41-e7f2-4201-af8a-406c7327d195|e0a8f371-bd37-47a4-ac45-821f8a3aa222|306624a4-8df5-4a88-87f2-b644f9f042c3|c222caec-b2b5-43bc-bb6a-222bd95777ba|0a82c76d-eec7-4c0a-8282-e8d63cea6759|7f517bfe-a995-41fb-84b7-bb199a119b32|70a2dddb-ddad-42f0-8674-8b9a2148611e|c5519f72-60ad-46ab-b2b4-adf603e44f92|cbe54e53-1c66-4626-85cd-ae3b2c302ee5|74c86f62-8854-4ad0-aeb7-0b0aad5d003a|ced13bbc-02b7-4b8a-8efa-3bdeaa741196|42b16840-3a56-4a20-9314-7aa171f1136c,United Republic of Tanzania Multi Dimensional Poverty Index,Lao People's Democratic Republic Multi Dimensional Poverty Index,Lesotho Multi Dimensional Poverty Index,Bolivia (Plurinational State of) Multi Dimensional Poverty Index,South Africa Multi Dimensional Poverty Index,Samoa Multi Dimensional Poverty Index,Mexico Multi Dimensional Poverty Index,Belize Multi Dimensional Poverty Index,Bosnia and Herzegovina Multi Dimensional Poverty Index,Tuvalu Multi Dimensional Poverty Index,Saint Lucia Multi Dimensional Poverty Index,Uzbekistan Multi Dimensional Poverty Index,Fiji Multi Dimensional Poverty Index,Montenegro Multi Dimensional Poverty Index,Republic of Moldova Multi Dimensional Poverty Index,Tonga Multi Dimensional Poverty Index,Seychelles Multi Dimensional Poverty Index,Maldives Multi Dimensional Poverty Index,Costa Rica Multi Dimensional Poverty Index,Argentina Multi Dimensional Poverty Index,Georgia Multi Dimensional Poverty Index,Armenia Multi Dimensional Poverty Index,Global Multi Dimensional Poverty Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Data on forcibly displaced populations and stateless persons,data series,UNHCR - The UN Refugee Agency,215,none|65,345bb05e-7276-466c-bf92-9c1dd2bd5e92,"Bonaire, Sint Eustatius and Saba - Data on forcibly displaced populations and stateless persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,IPC - Acute Food Insecurity Classification,data series,Integrated Food Security Phase Classification (IPC),30,none|7,63592c11-5812-4b99-b5ef-50f526bc0b17,Ecuador: Acute Food Insecurity Country Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,World Bank - Poverty,data series,World Bank Group,181,none|40,b368d096-93d8-4b37-9a22-645d28a2b671,Qatar - Poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,Maybe standardize to 3W?,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,none|62,d3575877-d3b6-4eec-a116-d9b8a633a399|4aef067d-0761-4977-9020-e83d8f6908a4|897dc815-4e61-4bc2-b775-aed25689e401|b021c492-f7c7-46ee-a0bb-f230ae156757,Afghanistan - Who does What Where (July to September 2024),Afghanistan - Who does What Where,Afghanistan - Who does What Where (January to March 2024),Afghanistan - Who does What Where (October to December 2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNICEF Data and Analytics HQ - Nutrition,data series,UNICEF Data and Analytics (HQ),20,none|159,4b5c3c0b-b358-4590-8db6-d89e3e334aba|fc804e1c-a956-45ab-8fad-ee5ca2bb4dc8|521d1c99-2b9e-4103-8e98-06fd6362f974|e90e7fd6-b0b8-4698-8350-cef4b2d09be8,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)","Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",Semester 2 VAS Coverage (July to December),Semester 1 VAS Coverage (January to June),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,archived versions,WHO - WHO Health Indicators,data series,World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization,200,none|11,cd1c65e9-7ef4-4e48-bae2-29d93c9533fc|e4f2c64b-3a15-4e0e-8884-8cc4f2b6217d|a38827b2-c6cd-4d69-b70a-c393f65fe719|aeaf8dad-5918-40dc-9072-b49fc4519c55|bc416481-9407-4af0-9a49-889979402e01|c2c4f912-24c4-434e-8ee8-d47be84ecc97|56cbfce6-fdee-4539-be09-d3daff0a390c|f010b2a5-bf40-4918-a646-0ed9d2adfb10|82252cdf-ab5e-4be4-bb66-2437a9d73322|0c5aa671-3f5f-42ac-9f4f-3685b6404cfa|cba5fe8c-d003-4c9f-9a0e-5deeb4956345|60f2350c-b982-4a7f-a41e-7621daecc801|312a56de-be0d-4fe5-8f4f-d3bf12bd7edb|9f2cb81f-ed1e-40c2-9171-4c69f633ccdd|cde20733-8f74-438d-8726-73ff1643ea11|9561c14a-b644-466f-a32b-9befc9a8c433|1b60f2db-9324-4ce4-8c52-33e62ae770e5|231c32f8-bd8c-4d5a-a732-52e86e74d509|ef491fe0-9075-44b2-bc87-6f9d3699675a|862fd586-119e-4a30-830e-2f0bf9140138|26a5f322-1b91-4a88-9e35-31ae5c2d2992|67a5a323-5e16-4eb7-92a2-aaa9f98f36b4|64b1e62e-a877-4149-a172-35692500ef14|b537d3fd-931d-4b7c-84c2-f2104f1c94d3|f408c932-9c27-429a-be14-cba1529771e5|86ed7f7e-9cf3-48d6-9fd9-3ade8687941f|3a6d788f-63fc-4c71-b6cc-fc9abf462a24|a6cf2ed8-832d-4c76-8163-b5aa07fb3e3f|2d928c07-4fff-4186-ab05-05f9475c5e15|e3a532ab-bd7c-45c5-85a4-4303a448e4ce|f32e4892-f83e-4381-849c-d3b5b7f4e1bc|8aa64245-54c8-4177-bf4d-75a98bd315e9|9f6bcf4a-5184-4179-b9fd-a0e215667e17|60a6b8a4-a503-47a8-b7d5-45373fb9767e|15afd5ff-177e-4b83-9050-674631f121ea|208e5298-a9c5-4cb1-8ba9-6b0ffa802ba4|998040f0-0576-4f87-9cd6-fce5a3e9efe5|2f37631a-87fc-4dcb-9191-e44d785beea3|60156c9b-10c6-4fff-bfd9-752c13fd6117|cdcb834a-4888-4b6e-a03c-d2ccf819d103|23aa5b69-0418-4528-8c28-d39b5d62b9ee|a1a72dd4-0fad-418c-b998-b21d417a962b|b040ad0e-3349-48b9-83ba-6dba13f8268c|ce93d7f4-58ff-4ad8-b164-8e4e7e3f4bd4|47158fc7-e68e-4c3b-89d0-f7d62dbcc71c|7946c12c-9e12-453e-9d2d-eb1cb467da75|aca52b0f-112d-47cb-9dba-b0365fc212c4|23e37e80-fc66-4964-b619-1cec810fd5ed|126fdb1d-9b43-4c53-a653-0e6f4f84f8ee|2416d99b-5054-4675-8c4b-82d79f0a4772|429f8cb3-3bc2-45c6-845e-19810d2d92ee|03ac94aa-fd4c-498a-bcec-9440a0dce460|0a056129-335a-4740-aaa8-79da4c769ac7|023f40d9-fc72-4ae0-ac9b-deb71304be28|70d135eb-2898-462b-8eb3-fb96176e24cc|b4b957c5-46d2-47dd-911b-00f9d003e94c|a07aef19-6e2a-4ded-8dc4-60716eed243e|ffa2ee4a-0569-4d34-957b-e0141b3029e3|8c03c3fb-f448-4bca-8b5c-51ea8510ee49|99145221-8093-4471-8f2e-aaa2fd6dddb7|72b30387-411e-4f48-aad1-6ce7a00eb108|813fe108-98a0-44dd-89eb-8a5bc9f5ec97|99bdba5d-f2bf-409b-868e-6c4cb3704a93|45a27861-bbe3-4820-a691-deceb3fb168f|645fe24f-18de-477d-97ad-15c96f62ad95|9757a4db-0a46-436a-af04-57498aee44ce|0fae044e-93f5-4920-b3ab-80ef30ed1f77|79bdd0fc-e1df-47f7-8eee-1ebf07d73db9|b6fd035a-5fbc-4d21-9a5b-38edf1015adf|a3eb88f1-7539-4901-9914-593febf3207f|32d9e115-8787-4105-8740-9b1ac1686919|0cd556a3-9d8c-4b7a-a872-e04406e62fbc|5838186d-c3bd-4cfa-90bb-d347eaf7b71b|ba00ca09-7136-4c1d-af08-fa2bdc0844c0|682ab835-f576-4cad-846a-c10de6d8f20a|7872d815-c693-41d3-80e8-175e15f1acd6|a93f3d8c-337b-40a5-82f0-2e46b33a6f67|2c430be3-235e-467a-a68a-4c8197648e01|c3437f85-ce91-464f-8020-ffa46e7d1386|c0c14a82-8367-4f76-8608-dda4b568288b|6c6b4d2f-8b35-4f49-b640-efcd3aea73b9|8c407cec-a993-4928-bdbe-33cfaaee69c3|69163bd8-5d7d-465e-b12c-ffd89f7b9bf8|b9547250-b4ec-4672-be38-d5f0d61b3a4d|fea0c777-2e1f-4b83-844a-8f73f3fcbbca|682b44d7-3b0d-434e-99f6-82174763f3f7|9ca6f279-5c1a-443d-b36e-0a5ca1615ab9|12a06260-8124-499a-9a72-278ef4ed1fb5|6b794c65-6965-462b-99d1-62febe57ac3a|44a370bf-59b8-44c1-bd15-cf6e4d33fcc0|fff493b9-c526-4ef5-ab95-d6137cdb77df|2b94cae1-eda8-45ff-9ddb-499539562eb5|38522965-b358-4e27-bb09-60f6b5dd28bb|493c42c1-3c4f-4546-90f9-9bc9d189b200|989565d3-35f3-4571-953b-2a0c1dc346fe|8103cce1-96cd-43dc-b051-e7a4ab731673|26b07299-2d4a-49b6-ae4a-4acb3aea7338|d07a7ce7-2717-4bef-a4fb-924112259a7b|8e248d04-1d9c-4888-9edf-02ea2ca41fc5|82eb33ac-205b-4a59-9b63-8f4954c2bb35|41901034-088c-46da-934a-71249a663517|265c93b9-22e0-4590-ab5f-f312fefed1b9|5ebcc0d3-624b-40c7-8e6d-7c523f23b312|fca40aff-89ad-4aef-a3cd-0e94425939aa|0836233d-2463-4611-9547-984cad790817|77d3be5a-b815-48e7-9ff2-57a05d4ce5f9|72681859-acac-4991-a0cc-6a04aad2877a|04e931c2-d2f0-492f-a5c3-55b3c503dfc4|69dfffe4-e754-4b92-81be-ea65c5cf23bd|49720691-f7f6-49d7-ba5f-c68b02ffafdf|98687a0a-dc8b-49bf-9c07-a8f83508c482|cb51d1ab-027d-4488-8ed0-65f9341bf852|b4c37112-468d-41ae-9f5c-53d346ac76e7|ed7c9642-c572-401c-a5ba-009812612540|cdd8d785-44e3-4779-8fea-34129c8490f5|914e006e-45cc-49a2-bbfa-6aefca7c36d5|3f64b9aa-8045-42c7-9f17-2fb3bd4a7df4|6b9bd26c-b42e-45cb-9550-ae58c2960126|52333ec2-1606-4034-ab87-f34da4c192f8|ace09fdf-a91c-4d09-bc3a-1bc7f584f379|63d825b8-c866-40cd-b9da-3be2d26e3212|049b2c78-21c6-4713-9f0a-003a594f913c|bcfc1f5d-466e-4eab-867c-0036ba51c4c4|7cb67b12-cb8e-41b6-8b8d-8b819ecf7eca|6e31c135-4763-4d9d-92fe-3b4dd728c565|8074304f-0bf8-4ae3-9aac-204654fef9e2|f2041fec-982a-4f05-b7c4-0f0fb78fec55|ca5fd65e-670e-4ba8-afc0-34f031856cf2|66d2c1db-d2c9-44c3-b1cc-77edebc453d7|8e91ed03-8d7e-46c2-b583-39852080f3c5|5e16b1a7-de6f-4a03-8c49-8479249cbe84|d95e5272-5f66-48c7-83de-1a4d451f2a97|261bc6bd-93f7-42d2-99fb-e171e087458d|fc5bc30c-0100-48c5-8062-31941571e2da|a895ec2a-70fc-46ec-8409-ea7d3cf5ad5b|6718a658-a093-48a2-a85c-0d75423643ea|f21087f8-3a95-407b-8e76-661bf0deaaaf|34bc2275-f457-4c6d-8d3d-5c82edf36bfa|794714e9-46af-43b3-be97-93ab906e5a8a|353859c1-248a-488a-9fbd-c6746328f144|e99ca5c1-de6a-430c-b88c-49a8e229374d|f0a4b660-1d5e-486d-9e7d-aaf0dd081c63|0f1e5cec-9d9b-4afb-b258-71b83c6bf1ea|c17a1de1-fec6-4f09-aa99-92a37b2d9b4f|aeacda8d-5978-427b-8adb-0250f08f879c|a55652a1-de44-431c-a5cd-2df92ac94ecc|5ac99cc1-449f-43e3-a876-755d1beef29b|dcd9beeb-be7c-48df-9e73-5fbf9da97881|ec6a9bb4-c7dd-452c-a4ee-0025824b423a|fc73d4e4-59c0-4b0a-890f-61066123e3bd|cc46c2ba-5791-402d-ab31-445e5a2456cf|dba533d1-9f78-415a-a8ee-c9ed0305316f|22072ee2-92a7-4529-baf4-cec0c8fd1f60|f2720fbd-a0ca-47e8-ae92-52957c18401e|569b10b6-cd94-4613-8a85-c358cba15685|3395b2eb-acda-4228-a8b2-6eb3bc90ad75|8bc16cf5-1ba4-45cc-9594-2c47b39dbf16|2863b058-c5a1-45fa-9a6d-888726853065|04b52c93-93cb-4800-beb8-c2679b37f6df|e05ab459-c74c-4487-b7aa-b439e9e35038|ab48cf72-e257-4a01-b8b6-f3ea32fb759d|2f503fed-72e7-4e63-97e3-154931bf2926|a05b30fa-2696-47e6-ac13-7ff4b1d71d6f|88381b46-404c-439e-b588-c0b03f407c70|fb8997cb-62b8-4740-840c-546c2696f8f3|cc8ed539-ea56-4ef8-bdee-3c647260ec17|0d7e4a34-2fe6-4d1b-94ef-2d2f0a3ea9f9|115ace5e-3095-4d84-b31d-340c683c12e2|6bc4b43e-3e34-42be-a492-420dc71f29f0|e2e1d6ff-561a-47b9-b4db-e444300c9626|95fd0c3c-02de-46d1-a1cc-e3c16b660d98|9117cd23-a6bc-4904-a477-c72fcb393dcd|4175976f-2773-4d30-b6f0-d19730cac950|1bc0ce7c-451c-4507-bd2e-ec3589b861fb|c2dfe3f7-3029-4d15-95b9-ed136bcf92a6|8f226cb6-d5a0-4b16-a461-be9cb78dd822|d10a341b-727b-40d4-bc39-8195b2aa18bf|2b510afe-36a7-4b0d-905d-b7e72f321ce9|23af751e-84a4-44dd-bcc7-bcd758ad00a1|b0b701e4-85d4-4712-8b0d-796247c22fea|d9485440-8137-495d-86a3-81fee0a60bdf|655f6da2-dc7e-43cd-b50a-7f72e25c32d1|abcca92e-4249-418b-8d2e-82c3dd7d428d|4e60b930-f57b-4b24-af4b-9d12acfbe668|6c032293-aa07-497d-9e38-40c2ec80c6fd|964e7f0e-11f9-4bcd-b4de-1d20a75b6551|d9b24206-f75f-4611-a0b4-da6bfbac4692|2d3d67e7-da9a-4b31-abdf-5edbc82d47f2|7dfa2313-24ca-4229-8cc2-451fdaded5cc|4547e562-06e5-4457-84f4-24bf595589ba|4874548e-4cec-4683-a26e-23c23bb9a38e|bbec24a8-a1e9-466d-9baf-de9106f4c7b3|954d146e-22e1-499d-9282-10052551d9ef|71d4fe01-82df-407e-99d9-45853e16950f|23c005e7-4d12-4e35-9f49-919ae48d0799|e3e3d701-5544-4407-a856-2452d78f2b53|ffd52ee5-6349-4e08-abb1-48ad6f1aed04|4c3d2030-5a52-4c0d-8392-0ddfebe6556a|f4a578a9-f82a-46fb-8578-a4186b1cfcba,"Bonaire, Sint Eustatius and Saba - Health Indicators",United States Virgin Islands - Health Indicators,New Caledonia - Health Indicators,Martinique - Health Indicators,Northern Mariana Islands - Health Indicators,Liechtenstein - Health Indicators,Guam - Health Indicators,Guadeloupe - Health Indicators,Cayman Islands - Health Indicators,Curaçao - Health Indicators,"Bonaire, Sint Eustatius and Saba - Health Indicators",Aruba - Health Indicators,Venezuela (Bolivarian Republic of) - Health Indicators,Uzbekistan - Health Indicators,Uganda - Health Indicators,United Republic of Tanzania - Health Indicators,Türkiye - Health Indicators,Timor-Leste - Health Indicators,Turkmenistan - Health Indicators,Tajikistan - Health Indicators,Thailand - Health Indicators,Togo - Health Indicators,Chad - Health Indicators,Syrian Arab Republic - Health Indicators,Eswatini - Health Indicators,Suriname - Health Indicators,Sao Tome and Principe - Health Indicators,South Sudan - Health Indicators,Somalia - Health Indicators,El Salvador - Health Indicators,Sierra Leone - Health Indicators,Solomon Islands - Health Indicators,Senegal - Health Indicators,Sudan - Health Indicators,Saudi Arabia - Health Indicators,Rwanda - Health Indicators,Paraguay - Health Indicators,Democratic People's Republic of Korea - Health Indicators,Papua New Guinea - Health Indicators,Philippines - Health Indicators,Peru - Health Indicators,Panama - Health Indicators,Pakistan - Health Indicators,Oman - Health Indicators,Nepal - Health Indicators,Nicaragua - Health Indicators,Nigeria - Health Indicators,Niger - Health Indicators,Namibia - Health Indicators,Malaysia - Health Indicators,Malawi - Health Indicators,Mauritius - Health Indicators,Mauritania - Health Indicators,Mozambique - Health Indicators,Myanmar - Health Indicators,Mali - Health Indicators,Mexico - Health Indicators,Madagascar - Health Indicators,Morocco - Health Indicators,Sri Lanka - Health Indicators,Liberia - Health Indicators,Lao People's Democratic Republic - Health Indicators,Republic of Korea - Health Indicators,Cambodia - Health Indicators,Kyrgyzstan - Health Indicators,Kenya - Health Indicators,Kazakhstan - Health Indicators,Iraq - Health Indicators,Iran (Islamic Republic of) - Health Indicators,India - Health Indicators,Indonesia - Health Indicators,Haiti - Health Indicators,Honduras - Health Indicators,Guyana - Health Indicators,Guatemala - Health Indicators,Equatorial Guinea - Health Indicators,Guinea-Bissau - Health Indicators,Gambia - Health Indicators,Guinea - Health Indicators,Ghana - Health Indicators,Georgia - Health Indicators,Gabon - Health Indicators,Ethiopia - Health Indicators,Eritrea - Health Indicators,Egypt - Health Indicators,Ecuador - Health Indicators,Algeria - Health Indicators,Dominican Republic - Health Indicators,Djibouti - Health Indicators,Costa Rica - Health Indicators,Cabo Verde - Health Indicators,Comoros - Health Indicators,Colombia - Health Indicators,Congo - Health Indicators,Democratic Republic of the Congo - Health Indicators,Cameroon - Health Indicators,Côte d'Ivoire - Health Indicators,China - Health Indicators,Central African Republic - Health Indicators,Botswana - Health Indicators,Bhutan - Health Indicators,Brazil - Health Indicators,Bolivia (Plurinational State of) - Health Indicators,Belize - Health Indicators,Bangladesh - Health Indicators,Burkina Faso - Health Indicators,Benin - Health Indicators,Burundi - Health Indicators,Azerbaijan - Health Indicators,Armenia - Health Indicators,Argentina - Health Indicators,United Arab Emirates - Health Indicators,Angola - Health Indicators,Afghanistan - Health Indicators,Saint Vincent and the Grenadines - Health Indicators,United States of America - Health Indicators,Uruguay - Health Indicators,Ukraine - Health Indicators,Tuvalu - Health Indicators,Tunisia - Health Indicators,Trinidad and Tobago - Health Indicators,Tonga - Health Indicators,Seychelles - Health Indicators,Sweden - Health Indicators,Slovenia - Health Indicators,Slovakia - Health Indicators,Serbia - Health Indicators,San Marino - Health Indicators,Singapore - Health Indicators,Russian Federation - Health Indicators,Romania - Health Indicators,Qatar - Health Indicators,Portugal - Health Indicators,Poland - Health Indicators,Palau - Health Indicators,New Zealand - Health Indicators,Nauru - Health Indicators,Norway - Health Indicators,Netherlands (Kingdom of the) - Health Indicators,Niue - Health Indicators,Mongolia - Health Indicators,Montenegro - Health Indicators,Malta - Health Indicators,North Macedonia - Health Indicators,Marshall Islands - Health Indicators,Maldives - Health Indicators,Republic of Moldova - Health Indicators,Monaco - Health Indicators,Latvia - Health Indicators,Luxembourg - Health Indicators,Lithuania - Health Indicators,Lesotho - Health Indicators,Saint Lucia - Health Indicators,Libya - Health Indicators,Lebanon - Health Indicators,Kuwait - Health Indicators,Saint Kitts and Nevis - Health Indicators,Kiribati - Health Indicators,Japan - Health Indicators,Jordan - Health Indicators,Jamaica - Health Indicators,Italy - Health Indicators,Israel - Health Indicators,Iceland - Health Indicators,Ireland - Health Indicators,Hungary - Health Indicators,Croatia - Health Indicators,Grenada - Health Indicators,Greece - Health Indicators,United Kingdom of Great Britain and Northern Ireland - Health Indicators,Micronesia (Federated States of) - Health Indicators,France - Health Indicators,Fiji - Health Indicators,Finland - Health Indicators,Estonia - Health Indicators,Spain - Health Indicators,Denmark - Health Indicators,Dominica - Health Indicators,Germany - Health Indicators,Czechia - Health Indicators,Cyprus - Health Indicators,Cuba - Health Indicators,Cook Islands - Health Indicators,Chile - Health Indicators,Switzerland - Health Indicators,Canada - Health Indicators,Brunei Darussalam - Health Indicators,Barbados - Health Indicators,Belarus - Health Indicators,Bosnia and Herzegovina - Health Indicators,Bahamas - Health Indicators,Bahrain - Health Indicators,Bulgaria - Health Indicators,Belgium - Health Indicators,Austria - Health Indicators,Australia - Health Indicators,Antigua and Barbuda - Health Indicators,Andorra - Health Indicators,Albania - Health Indicators
Exclude,archived versions,WHO - WHO Health Indicators,data series,World Health Organization,200,none|11,cd1c65e9-7ef4-4e48-bae2-29d93c9533fc,"Bonaire, Sint Eustatius and Saba - Health Indicators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,not wash kap,UNHCR - WASH KAP Survey,data series,UNHCR - The UN Refugee Agency|UNHCR - The UN Refugee Agency,19,none|68,cf2e5702-67cc-4f21-9a27-2ac9a2a830d1|0eeaf4f3-fc25-4669-ac63-a4377183f6ea|8dcbebb2-803f-4619-9ad9-030a5d5d9805|83145236-df20-49a1-bdb3-f6b73644c037|874513b3-3dd4-4f75-bd3d-04125238896a|0ed512d2-ddb3-4684-a8b1-26c9868e0041|46dee185-a8c0-41e4-b792-31f385ea2c5a|e98972bf-c2ad-404c-a26b-0bb9c5f60367|df6a106f-04d7-4fc3-92ef-fc7e5da21733|3083a251-3c65-4c90-af09-688a2a870f69|4a6270b8-352c-418f-ac86-5efa49f6cb06|ed3f1377-4394-4da7-8885-1d81f4694445|7de74b69-5748-470c-99c4-8f9a87c21be7,Mozambique - Results Monitoring Survey (RMS) - 2023,Burundi - Results Monitoring Survey (RMS) - 2023,Burkina Faso - Results Monitoring Survey (RMS) - 2023,South Sudan - Results Monitoring Survey (RMS) - 2023,Djibouti - Results Monitoring Survey (RMS) - 2023,Austria - Survey of intentions and perspectives of refugees from Ukraine - 2023,South Sudan - Results Monitoring Survey (RMS) - 2022,Congo - Results Monitoring Survey (RMS) - 2023,Switzerland - Survey of intentions and perspectives of refugees from Ukraine - 2023,Burundi - Results Monitoring Survey (RMS) - 2022,Malawi - Results Monitoring Survey (RMS) - 2023,Croatia - Survey of intentions and perspectives of refugees from Ukraine - 2023,Democratic Republic of the Congo - Results Monitoring Survey (RMS) - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Multi-Sector Needs Assessment ,data series,UNHCR - The UN Refugee Agency,1,none|293,1bdc3e19-65bc-4d2f-a2af-bbcdcba1e166,Multi-Sector Needs Assessment (MSNA) - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
